City,Street,PostalCode,Country
BEKKESTUA,"Murenveien 134",1356,NO
MOSS,"Heimdalenga 85",1529,NO
TØNSBERG,"Dyre Vaas vei 61",3122,NO
HARSTAD,"Vierbakken 211",9414,NO
HARSTAD,"Svartdalsvegen 201",9407,NO
ULSET,"Kollåsskiftet 140",5116,NO
BERGEN,"Georgernes Verft 227",5011,NO
HØNEFOSS,"Vestern 81",3513,NO
STRAUMSGREND,"Løtveitveien 224",5151,NO
ELVERUM,"Slåttmyrvegen 191",2406,NO
HAUGESUND,"Kristtornvegen 55",5535,NO
HOMBORSUND,"Homborhave 20",4888,NO
FAUSKE,"Mosemyrveien 215",8206,NO
SKIEN,"Hulkavegen 234",3738,NO
LODDEFJORD,"Sæls vei 56",5173,NO
STAVANGER,"Lyngveien 50",4025,NO
BODØ,"Tømrerveien 113",8004,NO
GJØVIK,"Tordenskjolds gate 93",2821,NO
HAGAN,"Bjønndalsveien 127",1481,NO
GJØVIK,"Bakkestumpen 160",2816,NO
"MO I RANA","Løgstørveien 24",8610,NO
STORD,"Åsmyro 200",5417,NO
SANDNES,"Ospabakken 95",4306,NO
PORSGRUNN,"Svinten 161",3941,NO
BERGEN,"Fredriksbergsgaten 196",5005,NO
STAVANGER,"Kvernhusveien 152",4025,NO
SANDEFJORD,"Sjuvekroken 130",3218,NO
BODØ,"Plassen 202",8006,NO
HUNDVÅG,"Blåkvalveien 75",4085,NO
GJETTUM,"Stanga 9",1346,NO
"GAMLE FREDRIKSTAD","Spinneriveien 87",1632,NO
FREDRIKSTAD,"Eyvind Alnæs vei 17",1605,NO
GRESSVIK,"Gamle Rødsvei 23",1621,NO
OSLO,"Per Kvibergs gate 47",0478,NO
PORSGRUNN,"Smiebakken 24",3919,NO
HAUGESUND,"Dukkelunden 178",5518,NO
ARENDAL,"Elvebakken 8",4825,NO
OSLO,"Bygdøylund 209",0286,NO
BORGEN,"Østhellinga 103",1388,NO
FAUSKE,"Moselyngveien 80",8209,NO
DRAMMEN,"Løysebakken 200",3039,NO
TORP,"Strømsvei 48",1658,NO
TRONDHEIM,"Knut Hamsuns veg 157",7024,NO
FREDRIKSTAD,"Breidablikk 79",1608,NO
BØNES,"Bergveien 121",5152,NO
STEINKJER,"Heggesåsen 76",7715,NO
TØNSBERG,"Tomsbakken 38",3125,NO
SKIEN,"Halvdans gate 7",3725,NO
SLATTUM,"Haugerveien 3",1480,NO
"KRISTIANSAND S","Bukken Bruses vei 227",4638,NO
FLEKKERØY,"Jensebakken 98",4625,NO
TILLER,"Rognbudalen 126",7092,NO
NESØYA,"Halsåsen 219",1397,NO
SKIEN,"Limijordet 73",3721,NO
NARVIK,"Furuveien 241",8517,NO
GODVIK,"Janaveien 143",5179,NO
HALDEN,"Tønne Huitfeldts plass 183",1767,NO
HALDEN,"Repslagergata 213",1776,NO
SKIEN,"Mobakkvegen 90",3732,NO
HOMMERSÅK,"Urskjellveien 226",4310,NO
LILLESTRØM,"St Olavs gate 174",2004,NO
SKIEN,"Mellombrottet 183",3737,NO
"KRISTIANSAND S","Thistedahls gate 223",4614,NO
HAFRSFJORD,"Korporalstubben 193",4045,NO
OSLO,"Grorudbakken 194",0962,NO
OSLO,"Myntfunnveien 88",0382,NO
TRONDHEIM,"Biskop Darres gate 119",7042,NO
TØNSBERG,"Stålveien 161",3124,NO
LILLEHAMMER,"Margit Haslunds veg 37",2614,NO
PORSGRUNN,"Mellomgata 161",3912,NO
NESBRU,"Granveien 14",1394,NO
OSLO,"Friggs vei 22",0588,NO
ALTA,"Sildreveien 27",9516,NO
ÅLESUND,"Myrberget 207",6020,NO
MANDAL,"Vierveien 62",4515,NO
HOSLE,"Åsfaret 227",1362,NO
SANDEFJORD,"Søndre Gjekstadskog 140",3236,NO
FORNEBU,"Rolfsbuktalleén 165",1364,NO
BERGEN,"Fredrik Meltzers gate 180",5007,NO
SKIEN,"Svalevegen 82",3742,NO
OSLO,"Seterbråtveien 139",1271,NO
HALDEN,"Nini Roll Ankers vei 54",1781,NO
JESSHEIM,"Asfaltvegen 18",2050,NO
OSLO,"Inkognito terrasse 100",0256,NO
ÅLESUND,"Borgundgavlen 246",6015,NO
JAR,"Øvrevollveien 79",1358,NO
GRÅLUM,"Vestlia 97",1712,NO
SANDNES,"Jutlandveien 228",4312,NO
NITTEDAL,"Tyrihansveien 144",1482,NO
"KRISTIANSAND S","Konsul Wilds vei 201",4621,NO
OSLO,"Schwensens gate 181",0170,NO
ÅLESUND,"Klokkersundvegen 95",6015,NO
OSLO,"Nordbergbakken 197",0875,NO
TORP,"Moltebergveien 176",1659,NO
STEINKJER,"Smedbakken 15",7725,NO
SANDNES,"Austråttlia 107",4306,NO
HAGAN,"Blåtoppveien 128",1481,NO
OSLO,"Hamborgveien 98",0860,NO
OSLO,"Messepromenaden 221",0279,NO
KONGSVINGER,"Elgvegen 70",2211,NO
HØNEFOSS,"Tungaveien 199",3510,NO
OSLO,"Øvre Langås vei 77",0880,NO
SANDNES,"Røyskattveien 102",4329,NO
TROMSØ,"Roald Amundsens gate 100",9009,NO
JAKOBSLI,"Einervegen 213",7059,NO
BERGEN,"Kolstibotn 134",5098,NO
RÆLINGEN,"Liavegen 177",2005,NO
STAVANGER,"Hinnali 41",4020,NO
OSLO,"Orreveien 240",0789,NO
"GAMLE FREDRIKSTAD","Anton Rosings vei 24",1637,NO
MOLDE,"Årøhagen 198",6422,NO
"KRISTIANSUND N","Bølgebakken 44",6507,NO
BODØ,"Prestmarkveien 105",8074,NO
BODØ,"Marmorveien 64",8072,NO
GREÅKER,"Gamle Tindlundvei 44",1718,NO
PORSGRUNN,"Prestealleen 49",3944,NO
OSLO,"Blåsbortveien 27",0873,NO
VASSØY,"Sørstrandveien 18",4076,NO
"KRISTIANSAND S","Nordre Hovedgårds vei 110",4621,NO
ASKER,"Østre Jansrud 199",1383,NO
BERGEN,"Støletorget 11",5003,NO
HORTEN,"Pedersgata 190",3186,NO
STAVANGER,"Forushagen 131",4033,NO
SKOPPUM,"Sletta 172",3185,NO
JAKOBSLI,"Eikvegen 104",7059,NO
HAUGESUND,"Blåbærvegen 101",5533,NO
TOLVSRØD,"Fossilveien 226",3152,NO
FAUSKE,"Valnesfjordveien 97",8206,NO
GREÅKER,"Sandveien (Tune) 122",1719,NO
HALDEN,"Kaisaveien 97",1786,NO
HAMAR,"Torgny Segerstedts gate 93",2319,NO
MANDAL,"Haugen 156",4517,NO
ARENDAL,"Barbugårdsjordet 225",4844,NO
GRESSVIK,"Lerkeveien 63",1624,NO
TRONDHEIM,"Stavsetsvingen 114",7026,NO
ARNATVEIT,"Langerekkja 131",5262,NO
TOMASJORD,"Evjenvegen 19",9024,NO
GRÅLUM,"Nesleveien 8",1712,NO
BERGEN,"Klingesmauet 9",5003,NO
HAUGESUND,"Marivegen 224",5516,NO
STORD,"Nye Vågavegen 187",5412,NO
NOTODDEN,"Rolf Wickstrøms gate 215",3679,NO
SLATTUM,"Stuaveien 211",1480,NO
STAVERN,"Skaufaret 61",3292,NO
SANDEFJORD,"Vestadjordet 247",3218,NO
OSLO,"Oslo gate 188",0192,NO
SKIEN,"Olav Kyrres gate 141",3722,NO
SANDNES,"General Ruges vei 38",4309,NO
HAFRSFJORD,"Rappstien 215",4041,NO
ALTA,"Elvestrand 7",9514,NO
HØNEFOSS,"Heieren 55",3518,NO
FREDRIKSTAD,"Wergelands vei 73",1605,NO
HØVIK,"Skogstuveien 231",1363,NO
BERGEN,"Strangehagesmauet 54",5011,NO
ÅLESUND,"Lihauggata 246",6002,NO
OSLO,"Hellerud Terasse 56",0672,NO
HORTEN,"Annie Skaus vei 215",3188,NO
NESBRU,"Jakteleia 173",1394,NO
"KRISTIANSAND S","Skinnerheia 99",4634,NO
SANDNES,"Valldalveien 22",4317,NO
"ØVRE ERVIK","Vinddalsveien 143",5106,NO
OSLO,"Åsbakken 84",0380,NO
SKEDSMOKORSET,"Vardekroken 136",2020,NO
OSLO,"Peder Holters vei 52",1168,NO
JESSHEIM,"Smedalsvegen 45",2050,NO
GRESSVIK,"Johan Selmer Karlsens vei 163",1624,NO
HØNEFOSS,"Breidablikk 220",3511,NO
LARVIK,"Castbergs gate 16",3257,NO
KONGSBERG,"Asbjørnsens vei 117",3613,NO
SANDEFJORD,"Hagaskogen 245",3234,NO
DRAMMEN,"Lammers gate 229",3014,NO
HARSTAD,"Ravns gate 161",9405,NO
JESSHEIM,"Nordskog 191",2050,NO
OSLO,"Fisker Syvertsens vei 130",0198,NO
MOSS,"Soltunet 107",1533,NO
MANDAL,"Elveveien 195",4515,NO
HAUGESUND,"Urtergata 41",5537,NO
VOLLEN,"Strandengveien 95",1390,NO
HØNEFOSS,"Sundgata 54",3510,NO
BERGEN,"Marsveien 134",5099,NO
SKI,"Tandbergåsen 122",1400,NO
OSLO,"Solkroken 63",0664,NO
SANDNES,"Stokkamyrveien 158",4313,NO
OSLO,"Elsters gate 101",0367,NO
NESBRU,"Bloksbergstien 155",1394,NO
OSLO,"Øraveien 16",0760,NO
TØNSBERG,"Bertes vei 102",3123,NO
ALTA,"Øvreveien 41",9515,NO
MANDAL,"Heggestien 147",4515,NO
PORSGRUNN,"Høyåsvegen 118",3919,NO
"KRISTIANSUND N","Veidestien 180",6517,NO
SANDNES,"Svilandsveien 207",4308,NO
"MO I RANA","Saga 8",8626,NO
BORGEN,"Orreleiken 122",1388,NO
SELLEBAKK,"Emblas vei 44",1654,NO
PORSGRUNN,"Bjørkealleen 137",3915,NO
OSLO,"Rugdeberget 146",1266,NO
NESTTUN,"Midtunhaugen 145",5224,NO
"KRISTIANSAND S","Odderheisløyfen 62",4639,NO
SKIEN,"Høglivegen 223",3719,NO
KRÅKERØY,"Bjørnevågveien 143",1676,NO
MOSS,"Myraveien 123",1529,NO
"KRISTIANSUND N","Kvitneshammeren 217",6518,NO
OSLO,"Langteigåsen 168",1274,NO
OSLO,"Vingolfveien 22",1170,NO
TØNSBERG,"Heimdalsvingen 221",3117,NO
STAVANGER,"Gangarstien 8",4021,NO
GREÅKER,"Meieriveien 197",1718,NO
MOSS,"Søndre Elvegate 163",1597,NO
KRÅKERØY,"Lomveien 157",1679,NO
NØTTERØY,"Vestliveien 56",3128,NO
KRÅKERØY,"Lundveien 85",1673,NO
NOTODDEN,"Amtmann Aalls gate 161",3683,NO
PORSGRUNN,"Kulltangvegen 198",3933,NO
SANDNES,"Vågsgaten 158",4306,NO
HØNEFOSS,"Furuhaugen 65",3516,NO
ISE,"Bergslandveien 81",1730,NO
FLAKTVEIT,"Flaktveittræet 133",5134,NO
GREÅKER,"Aspeveien 51",1718,NO
HAMAR,"Bispegata 166",2315,NO
"KRISTIANSUND N","Omveien 229",6510,NO
FREDRIKSTAD,"Henrik Ibsens vei 3",1605,NO
FREDRIKSTAD,"Strands vei 24",1605,NO
OSLO,"Hagtornveien 105",0855,NO
SANDEFJORD,"Ødegårdsveien 177",3231,NO
ARENDAL,"Skøyteveien 188",4848,NO
KRÅKERØY,"G.A.Stouslands vei 145",1671,NO
KRÅKERØY,"Skiveien 76",1672,NO
DRAMMEN,"Thams gate 108",3016,NO
MOSJØEN,"Sikmovegen 149",8657,NO
BORGENHAUGEN,"Tordvaldslyst 172",1738,NO
OSLO,"Sigurd Johannesens vei 98",1163,NO
SANDNES,"Bærheimveien 173",4312,NO
STEINKJER,"Bomvegen 108",7725,NO
STAVANGER,"Nordahl Griegs vei 127",4009,NO
NOTODDEN,"Radioveien 117",3678,NO
MOSS,"Innslaget 37",1536,NO
OSLO,"Avstikkeren 87",1156,NO
ÅLESUND,"Fogd Lindholms veg 34",6009,NO
HAKADAL,"Hjortefaret 14",1488,NO
"KRISTIANSAND S","Urds vei 110",4632,NO
HØNEFOSS,"Vikheimsveien 16",3512,NO
"MO I RANA","Skaarveien 172",8614,NO
HALDEN,"Hestemyrveien 70",1781,NO
"KRISTIANSUND N","Kirkegata 131",6516,NO
OSLO,"Wildenveybakken 216",0766,NO
DRAMMEN,"Kirkegata 231",3016,NO
LILLESTRØM,"Henrik Sørensens gate 215",2003,NO
PORSGRUNN,"Vollen 177",3946,NO
TRONDHEIM,"Karen Blekkans veg 4",7037,NO
HAMAR,"Herman Frangs gate 24",2317,NO
SANDVIKA,"Tokerudkollen 166",1336,NO
VARTEIG,"Solheimåsen 165",1735,NO
SANDNES,"Strondavika 176",4329,NO
BERGEN,"Endregården 210",5019,NO
OSLO,"Messeveien 171",0277,NO
SELLEBAKK,"Anton Hansens vei 42",1653,NO
STORD,"Meatjønnshaugen 207",5412,NO
HALDEN,"Bondebakken 195",1769,NO
OSLO,"Montebellobakken 4",0379,NO
ALTA,"Romsdalveien 48",9517,NO
MOSS,"Marikåpeveien 186",1529,NO
OSLO,"Unnarennet 32",0687,NO
STAVANGER,"Kvivollstien 95",4027,NO
TILLER,"Fossestuvegen 103",7075,NO
ÅLESUND,"Brudeholmvegen 139",6013,NO
DRAMMEN,"Hans Jensens vei 183",3031,NO
VETTRE,"Leangbukta 196",1392,NO
HAUGESUND,"Rekavikgata 165",5515,NO
SKOPPUM,"Langmyra 194",3185,NO
TROMSØ,"Seminargata 121",9008,NO
OSLO,"Mikrobølgen 114",1151,NO
LILLESTRØM,"Thorvald Lammers gate 109",2000,NO
HAUGESUND,"Dronning Gydas gate 69",5523,NO
HØNEFOSS,"Fåfengveien 145",3514,NO
FAUSKE,"Myrveien 161",8206,NO
NESTTUN,"Skjoldveien 6",5221,NO
RÆLINGEN,"Sleppenvegen 125",2005,NO
MOSS,"Odins gate 137",1511,NO
HAMAR,"Peder Nilsens gate 95",2321,NO
"KRISTIANSUND N","Demningen 59",6518,NO
OSLO,"Myrhaugen 21",0752,NO
OSLO,"Norderhovgata 6",0654,NO
SKIEN,"Sandvegen 7",3734,NO
GJØVIK,"Seljevegen 22",2818,NO
HORTEN,"Sam Eydes gate 116",3186,NO
LILLESTRØM,"Hoftvetveien 236",2000,NO
STAVANGER,"Vågedalsveien 94",4020,NO
SANDNES,"Vevargaten 15",4306,NO
KONGSBERG,"Henning Tønsbergs vei 188",3610,NO
"KRISTIANSUND N","Feskbergan 2",6512,NO
SKIEN,"Merdinvegen 184",3716,NO
ISDALSTØ,"Røsvikdalen 98",5914,NO
ASKIM,"Byframgrinna 50",1832,NO
OSLO,"Jordal terasse 249",0658,NO
SEM,"Sæheimsveien 131",3170,NO
DRAMMEN,"Sørensvingen 138",3028,NO
NARVIK,"Aspeveien 159",8517,NO
HØNEFOSS,"Balders vei 12",3518,NO
"GAMLE FREDRIKSTAD","Viggo Hansteens gate 81",1630,NO
MOLDE,"Fanneenga 230",6422,NO
ÅLESUND,"Raudhammarvegen 69",6012,NO
KOLSÅS,"Tiriltunga 135",1352,NO
SANDEFJORD,"Solløkkastien 96",3233,NO
MOLDE,"Solhagen 72",6415,NO
PORSGRUNN,"Hovlandvegen 120",3920,NO
NARVIK,"Hamsunsvei 66",8517,NO
OSLO,"Roald Amundsens gate 131",0161,NO
OSLO,"Bergstien 57",0172,NO
HØNEFOSS,"Høybyveien 183",3517,NO
OSLO,"Røaknekken 140",0754,NO
DRAMMEN,"Hamborggata 235",3018,NO
BODØ,"Olaveien 179",8008,NO
KONGSVINGER,"Bringebærvegen 44",2209,NO
MANDAL,"Bergeveien 139",4516,NO
ARENDAL,"Sollibakken 161",4839,NO
STORD,"Øvre Dalen 28",5416,NO
OSLO,"Glimmerveien 15",1155,NO
HAUGESUND,"Lotheparkvegen 134",5522,NO
OSLO,"Vangen 81",1163,NO
BERGEN,"Bredalsmarken 238",5006,NO
ASKIM,"Solkroken 189",1807,NO
HASLUM,"Østenåslia 103",1344,NO
GRIMSTAD,"Mølleveien 141",4879,NO
FREDRIKSTAD,"Ørmenåsen 240",1615,NO
BODØ,"Rensmoveien 49",8007,NO
SKIEN,"Grønnvegen 140",3720,NO
STORD,"Sæbøvegen 124",5412,NO
KRÅKERØY,"Langøyfaret 68",1679,NO
OSLO,"Barnehjemsveien 43",1181,NO
FOSNAVÅG,"Breidnesvegen 158",6092,NO
DRAMMEN,"Hans Langbachs vei 106",3039,NO
STAVANGER,"Ramsvig 79",4015,NO
SANDEFJORD,"Øvre Sverdstadvei 154",3216,NO
KOLSÅS,"Kremlegrenda 213",1352,NO
KONGSVINGER,"Svalevegen 136",2209,NO
TØNSBERG,"Håndverkergaten 234",3117,NO
SKIEN,"Nenset terrasse 96",3736,NO
ASKIM,"Kongleveien 110",1812,NO
TØNSBERG,"Ekornveien 148",3112,NO
KONGSVINGER,"Geitramsvegen 6",2208,NO
LILLEHAMMER,"Smegutua 15",2609,NO
OSLO,"Haraldsheimveien 151",0587,NO
DRAMMEN,"Farmen Øvre 34",3024,NO
FORNEBU,"Martin Linges vei 93",1364,NO
"KRISTIANSAND S","Gamle Mandalsvei 11",4617,NO
NØTTERØY,"Utsiktsveien 109",3121,NO
FAUSKE,"Hegreveien 5",8207,NO
KONGSVINGER,"Symrevegen 242",2208,NO
FREDRIKSTAD,"Hjørnerødgata 160",1608,NO
HEGGEDAL,"Torpfjellet 172",1389,NO
"KRISTIANSUND N","Bleikvollen 142",6512,NO
RYKKINN,"Langleiken 105",1348,NO
ASKIM,"Dalveien 12",1808,NO
GJØVIK,"Kringsjå 22",2819,NO
"KRISTIANSAND S","Lumberveien 38",4621,NO
"GAMLE FREDRIKSTAD","Titangata 108",1630,NO
ARENDAL,"Rømmekollen 217",4844,NO
SKJEBERG,"Løkkebergveien 134",1747,NO
TISTEDAL,"Bjerkelundveien 166",1792,NO
BERGEN,"Ole Vigs gate 76",5006,NO
LARVIK,"Kroksteinveien 119",3261,NO
SANDNES,"Heiasvingen 17",4328,NO
SPONGDAL,"Mulberga 233",7074,NO
SELLEBAKK,"Apotekerveien 239",1653,NO
TRONDHEIM,"Otto Skirstads veg 234",7022,NO
STAVANGER,"Birkelands gate 53",4012,NO
OSLO,"Regnbueveien 166",0664,NO
SANDNES,"Strondlia 113",4329,NO
FLEKKERØY,"Kjæreveien 106",4625,NO
FOSNAVÅG,"Grusholvegen 117",6091,NO
GJØVIK,"Torkesvingen 190",2819,NO
STAVANGER,"Sandvikveien 37",4016,NO
HAUGESUND,"Torjus Gards veg 188",5518,NO
BORGENHAUGEN,"Ruffen 28",1739,NO
KONGSBERG,"Hasbergs vei 55",3616,NO
ALTA,"Lampemyra 110",9518,NO
OSLO,"Vidjeveien 74",1182,NO
OSLO,"Lille Bislett 46",0170,NO
GJØVIK,"Gangvegen 112",2817,NO
"BÆRUMS VERK","Øvre Toppenhaug 155",1353,NO
GREÅKER,"Fabelfaret 131",1718,NO
VEAR,"Firingveien 101",3173,NO
"KRISTIANSUND N","Utsikten 217",6514,NO
HAUGESUND,"Torvastadgata 29",5529,NO
OSLO,"Olleveien 158",1182,NO
BODØ,"Øvre Slekkåsveien 157",8027,NO
TRONDHEIM,"Tinghusplassen 216",7013,NO
FREDRIKSTAD,"Sigrid Undsets vei 12",1619,NO
TRONDHEIM,"Serinelystveien 102",7020,NO
ARENDAL,"Veslekroken 22",4846,NO
SKIEN,"Steinsrudhøgda 89",3728,NO
MANDAL,"Haukeveien 66",4514,NO
FYLLINGSDALEN,"Jonstadveien 198",5146,NO
NESTTUN,"Sleipners vei 69",5221,NO
OSLO,"Hans Amundsens vei 83",0484,NO
SANDEFJORD,"Feensveien 66",3239,NO
HARSTAD,"Valmuebakken 74",9404,NO
HEGGEDAL,"Torpmarka 156",1389,NO
TØNSBERG,"Dannevigs gate 71",3117,NO
KONGSVINGER,"Sofies gate 127",2208,NO
FREDRIKSTAD,"Stræbsomhet 112",1613,NO
FREDRIKSTAD,"Damyr 164",1605,NO
OSLO,"Birger Aaneruds vei 231",0496,NO
SARPSBORG,"Gamle Opsund 137",1726,NO
ALTA,"Sagbruksveien 93",9518,NO
STAVANGER,"Worsetunet 90",4028,NO
TØNSBERG,"Ilebrekkeveien 175",3114,NO
HAMAR,"Raubekkgata 136",2316,NO
MOSS,"Fredrik Solies vei 6",1523,NO
SKIEN,"Jønnevaldstien 23",3721,NO
MANDAL,"Rosnesveien 243",4516,NO
STEINKJER,"Verksvegen 14",7725,NO
TROMSØ,"Ole Gabrielsens veg 109",9011,NO
"KRISTIANSUND N","Omveien 100",6510,NO
NESBRU,"Vogellund 99",1394,NO
SARPSBORG,"Snarveien (Tune) 174",1711,NO
NOTODDEN,"Flylandvegen 163",3677,NO
"MO I RANA","Faringsveien 5",8616,NO
GRIMSTAD,"Bark Silas' vei 50",4876,NO
ELVERUM,"Ankers veg 141",2408,NO
TROMSØ,"Fredrik Langes gate 19",9008,NO
OSLO,"Gjørstads gate 9",0367,NO
OSLO,"Damkroken 173",0373,NO
"GAMLE FREDRIKSTAD","Smedjegaten 38",1632,NO
STAVANGER,"Høleberggata 37",4006,NO
ÅLESUND,"Storskaret 162",6006,NO
MOSJØEN,"Dr. Ravns veg 179",8657,NO
HARSTAD,"Trollvassbakken 144",9405,NO
NARVIK,"Stadionbakken 160",8516,NO
TRONDHEIM,"Christian Frederiks gate 230",7030,NO
SANDNES,"Ringen 78",4318,NO
LILLEHAMMER,"Emma Gjelens veg 230",2609,NO
GRESSVIK,"Gjerløwsveien 122",1621,NO
